backend,case_name,device_id,dst_blocks,dst_pattern,fragment_bytes,gbps,iters,mean_ms,num_pages,p50_ms,p90_ms,p95_ms,p99_ms,returncode,selected_blocks,src_pattern,status,useful_mib,warmup
mapped-host gather op,locality_pattern_sweep,0,1024,stride,4096,9.57,3,0.438,4096,0.432,0.45,0.452,0.454,0,1024,sequential,pass,4.0,1
aclrtMemcpyAsync/page,locality_pattern_sweep,0,1024,stride,4096,0.15,3,27.085,4096,25.872,28.845,29.217,29.514,0,1024,sequential,pass,4.0,1
aclrtMemcpyAsync/contig,locality_pattern_sweep,0,1024,stride,4096,1.81,3,2.319,4096,2.186,2.564,2.612,2.649,0,1024,sequential,pass,4.0,1
HBM gather op,locality_pattern_sweep,0,1024,stride,4096,199.29,3,0.021,4096,0.017,0.026,0.027,0.028,0,1024,sequential,pass,4.0,1
mapped-host gather op,locality_pattern_sweep,0,1024,random,4096,9.49,3,0.442,4096,0.443,0.451,0.452,0.453,0,1024,sequential,pass,4.0,1
aclrtMemcpyAsync/page,locality_pattern_sweep,0,1024,random,4096,0.11,3,37.956,4096,37.858,38.233,38.28,38.318,0,1024,sequential,pass,4.0,1
aclrtMemcpyAsync/contig,locality_pattern_sweep,0,1024,random,4096,1.46,3,2.883,4096,2.741,3.084,3.127,3.161,0,1024,sequential,pass,4.0,1
HBM gather op,locality_pattern_sweep,0,1024,random,4096,195.81,3,0.021,4096,0.018,0.027,0.028,0.029,0,1024,sequential,pass,4.0,1
mapped-host gather op,locality_pattern_sweep,0,1024,sequential,4096,9.55,3,0.439,4096,0.431,0.451,0.454,0.456,0,1024,stride,pass,4.0,1
aclrtMemcpyAsync/page,locality_pattern_sweep,0,1024,sequential,4096,0.16,3,26.863,4096,26.981,27.119,27.136,27.15,0,1024,stride,pass,4.0,1
aclrtMemcpyAsync/contig,locality_pattern_sweep,0,1024,sequential,4096,1.8,3,2.332,4096,2.183,2.614,2.667,2.71,0,1024,stride,pass,4.0,1
HBM gather op,locality_pattern_sweep,0,1024,sequential,4096,210.49,3,0.02,4096,0.017,0.024,0.025,0.026,0,1024,stride,pass,4.0,1
mapped-host gather op,locality_pattern_sweep,0,1024,stride,4096,9.59,3,0.437,4096,0.43,0.448,0.451,0.453,0,1024,stride,pass,4.0,1
aclrtMemcpyAsync/page,locality_pattern_sweep,0,1024,stride,4096,0.14,3,30.363,4096,30.821,31.484,31.567,31.633,0,1024,stride,pass,4.0,1
aclrtMemcpyAsync/contig,locality_pattern_sweep,0,1024,stride,4096,1.32,3,3.172,4096,3.001,3.684,3.769,3.837,0,1024,stride,pass,4.0,1
HBM gather op,locality_pattern_sweep,0,1024,stride,4096,248.58,3,0.017,4096,0.017,0.017,0.017,0.017,0,1024,stride,pass,4.0,1
mapped-host gather op,locality_pattern_sweep,0,1024,random,4096,9.45,3,0.444,4096,0.445,0.455,0.456,0.457,0,1024,stride,pass,4.0,1
aclrtMemcpyAsync/page,locality_pattern_sweep,0,1024,random,4096,0.15,3,28.033,4096,27.884,28.708,28.811,28.894,0,1024,stride,pass,4.0,1
aclrtMemcpyAsync/contig,locality_pattern_sweep,0,1024,random,4096,1.53,3,2.733,4096,2.628,3.089,3.146,3.192,0,1024,stride,pass,4.0,1
HBM gather op,locality_pattern_sweep,0,1024,random,4096,247.79,3,0.017,4096,0.017,0.017,0.017,0.018,0,1024,stride,pass,4.0,1
mapped-host gather op,locality_pattern_sweep,0,1024,sequential,4096,9.5,3,0.442,4096,0.432,0.456,0.459,0.462,0,1024,random,pass,4.0,1
aclrtMemcpyAsync/page,locality_pattern_sweep,0,1024,sequential,4096,0.13,3,31.297,4096,31.374,32.139,32.234,32.311,0,1024,random,pass,4.0,1
aclrtMemcpyAsync/contig,locality_pattern_sweep,0,1024,sequential,4096,1.4,3,2.995,4096,2.733,3.427,3.514,3.583,0,1024,random,pass,4.0,1
HBM gather op,locality_pattern_sweep,0,1024,sequential,4096,249.36,3,0.017,4096,0.017,0.018,0.018,0.018,0,1024,random,pass,4.0,1
mapped-host gather op,locality_pattern_sweep,0,1024,stride,4096,9.5,3,0.441,4096,0.445,0.448,0.449,0.449,0,1024,random,pass,4.0,1
aclrtMemcpyAsync/page,locality_pattern_sweep,0,1024,stride,4096,0.15,3,27.513,4096,27.743,27.794,27.801,27.806,0,1024,random,pass,4.0,1
aclrtMemcpyAsync/contig,locality_pattern_sweep,0,1024,stride,4096,1.5,3,2.803,4096,2.686,3.205,3.269,3.321,0,1024,random,pass,4.0,1
HBM gather op,locality_pattern_sweep,0,1024,stride,4096,226.07,3,0.019,4096,0.017,0.021,0.021,0.022,0,1024,random,pass,4.0,1
mapped-host gather op,locality_pattern_sweep,0,1024,random,4096,9.58,3,0.438,4096,0.43,0.449,0.452,0.454,0,1024,random,pass,4.0,1
aclrtMemcpyAsync/page,locality_pattern_sweep,0,1024,random,4096,0.15,3,28.118,4096,28.321,28.835,28.899,28.951,0,1024,random,pass,4.0,1
aclrtMemcpyAsync/contig,locality_pattern_sweep,0,1024,random,4096,1.52,3,2.763,4096,2.638,3.154,3.219,3.27,0,1024,random,pass,4.0,1
HBM gather op,locality_pattern_sweep,0,1024,random,4096,222.39,3,0.019,4096,0.017,0.021,0.021,0.022,0,1024,random,pass,4.0,1
mapped-host gather op,locality_pattern_sweep,0,1024,sequential,16384,9.82,3,1.708,4096,1.701,1.718,1.72,1.721,0,1024,sequential,pass,16.0,1
aclrtMemcpyAsync/page,locality_pattern_sweep,0,1024,sequential,16384,0.43,3,38.727,4096,38.08,42.274,42.799,43.218,0,1024,sequential,pass,16.0,1
aclrtMemcpyAsync/contig,locality_pattern_sweep,0,1024,sequential,16384,3.52,3,4.769,4096,4.494,5.169,5.253,5.321,0,1024,sequential,pass,16.0,1
HBM gather op,locality_pattern_sweep,0,1024,sequential,16384,525.49,3,0.032,4096,0.028,0.038,0.039,0.04,0,1024,sequential,pass,16.0,1
mapped-host gather op,locality_pattern_sweep,0,1024,stride,16384,9.82,3,1.708,4096,1.702,1.718,1.72,1.721,0,1024,sequential,pass,16.0,1
aclrtMemcpyAsync/page,locality_pattern_sweep,0,1024,stride,16384,0.11,3,146.127,4096,142.674,168.881,172.157,174.777,0,1024,sequential,pass,16.0,1
aclrtMemcpyAsync/contig,locality_pattern_sweep,0,1024,stride,16384,1.34,3,12.5,4096,12.636,12.749,12.763,12.774,0,1024,sequential,pass,16.0,1
HBM gather op,locality_pattern_sweep,0,1024,stride,16384,509.74,3,0.033,4096,0.031,0.038,0.039,0.04,0,1024,sequential,pass,16.0,1
mapped-host gather op,locality_pattern_sweep,0,1024,random,16384,9.36,3,1.792,4096,1.785,1.802,1.804,1.806,0,1024,sequential,pass,16.0,1
aclrtMemcpyAsync/page,locality_pattern_sweep,0,1024,random,16384,0.46,3,36.416,4096,36.495,36.581,36.591,36.6,0,1024,sequential,pass,16.0,1
aclrtMemcpyAsync/contig,locality_pattern_sweep,0,1024,random,16384,0.66,3,25.276,4096,25.137,25.69,25.76,25.815,0,1024,sequential,pass,16.0,1
HBM gather op,locality_pattern_sweep,0,1024,random,16384,575.09,3,0.029,4096,0.029,0.03,0.03,0.031,0,1024,sequential,pass,16.0,1
mapped-host gather op,locality_pattern_sweep,0,1024,sequential,16384,9.34,3,1.796,4096,1.794,1.802,1.803,1.804,0,1024,stride,pass,16.0,1
aclrtMemcpyAsync/page,locality_pattern_sweep,0,1024,sequential,16384,0.15,3,110.676,4096,110.619,110.887,110.921,110.948,0,1024,stride,pass,16.0,1
aclrtMemcpyAsync/contig,locality_pattern_sweep,0,1024,sequential,16384,0.79,3,21.173,4096,20.496,22.332,22.561,22.745,0,1024,stride,pass,16.0,1
HBM gather op,locality_pattern_sweep,0,1024,sequential,16384,494.9,3,0.034,4096,0.034,0.038,0.039,0.039,0,1024,stride,pass,16.0,1
mapped-host gather op,locality_pattern_sweep,0,1024,stride,16384,9.34,3,1.797,4096,1.793,1.807,1.808,1.81,0,1024,stride,pass,16.0,1
aclrtMemcpyAsync/page,locality_pattern_sweep,0,1024,stride,16384,0.45,3,37.514,4096,37.544,37.676,37.693,37.706,0,1024,stride,pass,16.0,1
aclrtMemcpyAsync/contig,locality_pattern_sweep,0,1024,stride,16384,0.65,3,25.627,4096,24.875,26.885,27.136,27.337,0,1024,stride,pass,16.0,1
HBM gather op,locality_pattern_sweep,0,1024,stride,16384,530.14,3,0.032,4096,0.029,0.036,0.037,0.038,0,1024,stride,pass,16.0,1
mapped-host gather op,locality_pattern_sweep,0,1024,random,16384,9.33,3,1.799,4096,1.796,1.806,1.808,1.809,0,1024,stride,pass,16.0,1
aclrtMemcpyAsync/page,locality_pattern_sweep,0,1024,random,16384,0.41,3,40.716,4096,40.086,41.991,42.229,42.419,0,1024,stride,pass,16.0,1
aclrtMemcpyAsync/contig,locality_pattern_sweep,0,1024,random,16384,0.66,3,25.336,4096,25.093,26.446,26.616,26.751,0,1024,stride,pass,16.0,1
HBM gather op,locality_pattern_sweep,0,1024,random,16384,599.04,3,0.028,4096,0.028,0.029,0.029,0.029,0,1024,stride,pass,16.0,1
mapped-host gather op,locality_pattern_sweep,0,1024,sequential,16384,9.29,3,1.806,4096,1.806,1.81,1.81,1.81,0,1024,random,pass,16.0,1
